risk_rank,layer,head,count,mean,max,sum
164,5,14,12.0,0.015267993013064009,0.0404732227325439,0.1832159161567681
165,13,16,3.0,0.060717860857645634,0.0686802864074707,0.1821535825729369
166,33,20,2.0,0.090368777513504,0.0925613641738891,0.180737555027008
167,15,4,6.0,0.02995884418487545,0.0359220504760742,0.1797530651092527
168,44,7,5.0,0.0359089374542236,0.0680252313613891,0.179544687271118
169,11,15,2.0,0.08747184276580805,0.1284528970718383,0.1749436855316161
170,28,23,1.0,0.1698746681213379,0.1698746681213379,0.1698746681213379
171,37,15,1.0,0.1675831079483032,0.1675831079483032,0.1675831079483032
172,38,16,1.0,0.1619467735290527,0.1619467735290527,0.1619467735290527
173,2,20,14.0,0.011516383716038242,0.024027943611145,0.16122937202453538
174,9,7,2.0,0.07797634601593015,0.0990263819694519,0.1559526920318603
175,52,8,13.0,0.011981606483459415,0.0145236253738403,0.1557608842849724
176,25,9,1.0,0.1553859710693359,0.1553859710693359,0.1553859710693359
177,29,7,3.0,0.05088496208190913,0.069736361503601,0.1526548862457274
178,53,19,12.0,0.012574722369511876,0.0172722339630126,0.1508966684341425
179,3,16,3.0,0.04981291294097897,0.0611021518707275,0.1494387388229369
180,51,13,10.0,0.014575123786926209,0.0310055017471313,0.14575123786926208
181,37,3,1.0,0.1440237164497375,0.1440237164497375,0.1440237164497375
182,38,6,1.0,0.1427981257438659,0.1427981257438659,0.1427981257438659
183,13,0,1.0,0.140749454498291,0.140749454498291,0.140749454498291
184,8,13,4.0,0.0349245369434356,0.0444975495338439,0.1396981477737424
185,13,19,2.0,0.0691064000129699,0.0785496234893798,0.1382128000259398
186,58,13,64.0,0.0021445064339786282,0.0042403936386108,0.1372484117746322
187,38,5,3.0,0.045722961425781194,0.0499992370605468,0.13716888427734358
188,19,12,1.0,0.1350448131561279,0.1350448131561279,0.1350448131561279
189,28,4,1.0,0.134912371635437,0.134912371635437,0.134912371635437
190,1,16,6.0,0.021489620208740182,0.0348310470581054,0.1289377212524411
191,8,7,5.0,0.0250314593315124,0.0348291993141174,0.125157296657562
192,6,11,2.0,0.06237089633941645,0.0901893377304077,0.1247417926788329
193,25,22,1.0,0.1244217157363891,0.1244217157363891,0.1244217157363891
194,15,2,2.0,0.061254382133483845,0.0752625465393066,0.12250876426696769
195,54,23,20.0,0.006022107601165725,0.0094825029373168,0.1204421520233145
196,24,22,1.0,0.1190685033798217,0.1190685033798217,0.1190685033798217
197,18,21,2.0,0.05608981847763055,0.0839594602584838,0.1121796369552611
198,31,5,1.0,0.1113405227661132,0.1113405227661132,0.1113405227661132
199,3,3,6.0,0.018491139014561914,0.0219303369522094,0.1109468340873715
200,3,20,1.0,0.1091387867927551,0.1091387867927551,0.1091387867927551
